descriptions,stock,time,rise,drop,increase_rate,author,起跑,回升,反彈,潜力十足,利好,赢,推介,增長,受惠,有望,造好,漲,跟進,做好,憧憬,驚喜,吸資,非凡,搶眼,復甦,升,突破,向淡,增,上望,升幅,回穩,跌,错,减,低,瀉,挫,蝕,弱勢,插,蒸發,吐,做淡,屠牛,下滑,流走,軟,回落,下降
雖然政府的數據顯示，香港零售自去年10月已轉趨穩定，但德銀認為現時太早判斷零售會否好轉，而現時九倉股價約為淨資產折讓約40%，較歷史平均折讓45%為少，當中已反映了香港的零售一定程度的復甦，除非有關該公司檢討投資物業分析或種類的消息流出，就可支持股價再升，因為這或是會德豐（20）與九倉邁向重組的新一步。,00020.HK,2017/3/14,2,0,0.052447552,贏開巷,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國泰君安於1月中已向港交所（00388）交上市申請，市傳集資至少20億美元（約156億港元），聯席保薦人為國泰君安國際、高盛、美銀美林及浦銀國際。,00388.HK,2017/3/14,0,0,0.0140625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下周多隻科網股大派成績表，市場憧憬科網股績優而紛紛將資金泊入，其中主打手遊的IGG（799）升近10%，並創逾52周新高。,00799.HK,2017/3/14,2,0,0.075862069,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
不過宏觀科網股的基本因素強勁，現時已發盈喜的軟件股包括金蝶（268）及博雅（434）；而軟件股龍頭金山（3888）及為人矚目的騰訊（700）將於下周先後公布去年業績。,00268.HK,2017/3/14,0,2,0.029032258,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
不過宏觀科網股的基本因素強勁，現時已發盈喜的軟件股包括金蝶（268）及博雅（434）；而軟件股龍頭金山（3888）及為人矚目的騰訊（700）將於下周先後公布去年業績。,00434.HK,2017/3/14,0,2,0.075242718,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
不過宏觀科網股的基本因素強勁，現時已發盈喜的軟件股包括金蝶（268）及博雅（434）；而軟件股龍頭金山（3888）及為人矚目的騰訊（700）將於下周先後公布去年業績。,03888.HK,2017/3/14,0,2,0.01320132,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
不過宏觀科網股的基本因素強勁，現時已發盈喜的軟件股包括金蝶（268）及博雅（434）；而軟件股龍頭金山（3888）及為人矚目的騰訊（700）將於下周先後公布去年業績。,00700.HK,2017/3/14,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
中小型科網股的金蝶及網龍（777）雙雙僅升5%，加上其業務有新進展，可現價小注博彈；至於早前獲沽空機構狙擊的擎天軟件（1297）近期雖夥拍螞蟻金服拓展新業務，不過股價尚未企穩，不宜貿然追入。,00777.HK,2017/3/14,1,1,0.022026432,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
中小型科網股的金蝶及網龍（777）雙雙僅升5%，加上其業務有新進展，可現價小注博彈；至於早前獲沽空機構狙擊的擎天軟件（1297）近期雖夥拍螞蟻金服拓展新業務，不過股價尚未企穩，不宜貿然追入。,01297.HK,2017/3/14,1,1,-0.017857143,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
恒指出現震盪上行的走勢，歐美股市表現平穩，A股先跌後倒升，是支持刺激港股反彈的消息因素，而權重股匯豐控股（0005）和騰訊（0700）表現相對突出，內銀股出現跌後反彈，都是關注點。,00005.HK,2017/3/14,3,2,0.003149606,葉尚志,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
